college,course,category,Round 1,Round 2,Mop-up,fees,service_type,counseling
SNR District Hospital,DNB Anaesthesia,GM,,,190152.0,125000,Inservice,KEA
SNR District Hospital,DNB Obstetrics and Gynecology,GM,89248.0,,170342.0,125000,Inservice,KEA
SNR District Hospital,DNB in Paediatrics,GM,,,138327.0,125000,Inservice,KEA
SNR District Hospital,Diploma in Anesthesia,GM,,,193350.0,125000,Inservice,KEA
SNR District Hospital,Diploma in Family Medicine,GM,,,205573.0,125000,Inservice,KEA
SNR District Hospital,Diploma in Paediatrics,GM,132963.0,,181779.0,125000,Inservice,KEA
Sapthagiri Institute of Medical Sciences & Research Centre,M.D. General Medicine,GM,,136515.0,,808858,Inservice,KEA
Sapthagiri Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,S1G,,131625.0,,808858,Inservice,KEA
Shivamoga Institute of Medical Sciences,M.D. Dermatology,GM,99215.0,,,123400,Inservice,KEA
Shivamoga Institute of Medical Sciences,M.D. General Medicine,S2G,,98623.0,,123400,Inservice,KEA
Shivamoga Institute of Medical Sciences,M.D. Radio Diagnosis,GM,67749.0,,,123400,Inservice,KEA
Shivamoga Institute of Medical Sciences,M.S. Obstetrics and Gynecology,STG,,,127021.0,123400,Inservice,KEA
Shri Atal Bihari Vajpayee Medical College & Research Institute,M.D. Anaesthesia,GM,111101.0,,,123400,Inservice,KEA
Shri Atal Bihari Vajpayee Medical College & Research Institute,M.D. General Medicine,GM,,98003.0,,123400,Inservice,KEA
Shridevi Institute of Medical Sciences & Research Hospital,M.D Emergency Medicine,GM,118635.0,,,783108,Inservice,KEA
Shridevi Institute of Medical Sciences & Research Hospital,M.D. Radio Diagnosis,GM,110264.0,110264.0,,783108,Inservice,KEA
Sir CV Raman General Hospital,Diploma in Anesthesia,GM,,,209952.0,125000,Inservice,KEA
Sir CV Raman General Hospital,Diploma in Obstetrics and Gynecology,GM,,,200710.0,125000,Inservice,KEA
Sir CV Raman General Hospital,Diploma in Paediatrics,GM,,,147912.0,125000,Inservice,KEA
Srinivas Institute of Medical Research Centre,M.D. Radio Diagnosis,GM,112668.0,112668.0,112668.0,808108,Inservice,KEA
Sub Division Hosptial,Diploma in Obstetrics and Gynecology,GM,,,183310.0,125000,Inservice,KEA
Sub Divisional Hospital,Diploma in Paediatrics,GM,,,181043.0,125000,Inservice,KEA
Taluk general hospital,Diploma in Paediatrics,GM,,,137472.0,125000,Inservice,KEA
Taluka General Hospital,Diploma in Opthalamology,GM,,,194793.0,125000,Inservice,KEA
The Oxford Medical College,M.D. Radio Diagnosis,GM,,71272.0,76214.0,783108,Inservice,KEA
Vijaynagar Institute of Medical Sciences,M.D. Anaesthesia,GM,,104947.0,,123400,Inservice,KEA
Vijaynagar Institute of Medical Sciences,M.D. Anaesthesia,GMH,93357.0,107179.0,,123400,Inservice,KEA
Vijaynagar Institute of Medical Sciences,M.S. Obstetrics and Gynecology,GM,107179.0,89248.0,,123400,Inservice,KEA
