college,course,category,Round 1,Round 2,Round 3,Stray Vacancy
Kims Al Shifa Hospital,(NBEMS) GENERAL MEDICINE,Open,5414.0,,,
Smt. Rasilaben Sevantilal Shah Venus Hospital,(NBEMS) GENERAL MEDICINE,Open,5459.0,,,
Aakash Healthcare Super Specialty Hospital,(NBEMS) GENERAL MEDICINE,Open,5468.0,,,
Government Head Quarters Hospital,(NBEMS) GENERAL MEDICINE,Open,5477.0,,,
Aayush Multispeciality Hospital,(NBEMS) GENERAL MEDICINE,Open,5499.0,,,
Haria L G Rotary Hospital,(NBEMS) GENERAL MEDICINE,Open,5528.0,,,
Shri Vasant Rao Naik Govt. Medical College,(NBEMS) GENERAL MEDICINE,Open,5576.0,,,
Baby Memorial Hospital Kannur,(NBEMS) GENERAL MEDICINE,Open,5612.0,,,
Government Medical College,(NBEMS) GENERAL MEDICINE,Open,5703.0,,,
Care Hospital-,(NBEMS) GENERAL MEDICINE,Open,5706.0,,,
Medanta Hospital,(NBEMS) GENERAL MEDICINE,Open,5729.0,,,
Alexis Multispecialty Hospital,(NBEMS) GENERAL MEDICINE,Open,5751.0,,,
Manipal Hospitals,(NBEMS) GENERAL MEDICINE,Open,5809.0,,,
Pandit Madan Mohan Malaviya Shatabdi Hospital,(NBEMS) GENERAL MEDICINE,OBC,5875.0,,,
New Thergaon Hospital,(NBEMS) GENERAL MEDICINE,Open,5883.0,,,
General Hospital,(NBEMS) GENERAL MEDICINE,Open,5948.0,,,
Ushahkal Abhinav Institute Of Medical Sciences,(NBEMS) GENERAL MEDICINE,Open,5969.0,,,
Christian Fellowship Hospital,(NBEMS) GENERAL MEDICINE,Open,6030.0,,,
Sakra World Hospital,(NBEMS) GENERAL MEDICINE,Open,6046.0,,,
Mumbai Port Trust Hospital,(NBEMS) GENERAL MEDICINE,EWS,6233.0,,,
District Male Hospital,(NBEMS) GENERAL MEDICINE,OBC,6295.0,,11356.0,
Advanced Medicare And Research Institute (Amri),(NBEMS) GENERAL MEDICINE,Open,6298.0,,,
Fortis Hospital,(NBEMS) GENERAL MEDICINE,Open,6491.0,,27559.0,
Ernakulam Medical Centre,(NBEMS) GENERAL MEDICINE,Open,6529.0,,,
Human Care Medical Charitable Trust,(NBEMS) GENERAL MEDICINE,Open,6548.0,,,
Ruby General Hospital,(NBEMS) GENERAL MEDICINE,Open,6577.0,,,
Dr. Rela Institute And Medical Centre,(NBEMS) GENERAL MEDICINE,Open,6674.0,,,
Shri Vasant Rao Naik Govt. Medical College,(NBEMS) GENERAL MEDICINE,OBC,6768.0,,,
Medicover Hospitals,(NBEMS) GENERAL MEDICINE,Open,6864.0,,,
Tirath Ram Shah Hospital,(NBEMS) GENERAL MEDICINE,Open,6885.0,,,
South Western Railway,(NBEMS) GENERAL MEDICINE,Open,6915.0,,,
Metro Hospital And Heart Institute,(NBEMS) GENERAL MEDICINE,Open,6934.0,,,
Apollo Rajshree Hospitals Pvt Ltd,(NBEMS) GENERAL MEDICINE,Open,6936.0,,,
O P Jindal Institute Of Cancer And Cardiac Research,(NBEMS) GENERAL MEDICINE,Open,7009.0,,,
Diamond Harbour Government Medical College And Hospital,(NBEMS) GENERAL MEDICINE,Open,7021.0,,,16213.0
Paras Hospital,(NBEMS) GENERAL MEDICINE,Open,7060.0,,,
Apollosage Hospital,(NBEMS) GENERAL MEDICINE,Open,7105.0,,,
Government Medical College And Associated Hospital,(NBEMS) GENERAL MEDICINE,Open,7112.0,,,14971.0
Rainbow Institiute Of Medical Sciences (Rims),(NBEMS) GENERAL MEDICINE,Open,7140.0,,,
Chinmaya Mission Hospital,(NBEMS) GENERAL MEDICINE,Open,7158.0,,,
S. G. L. Super Specialty Charitable Hospital,(NBEMS) GENERAL MEDICINE,Open,7270.0,,,
Yatharth Superspeciality Hospitals,(NBEMS) GENERAL MEDICINE,Open,7271.0,,,
South Eastern Railways Central Hospital,(NBEMS) GENERAL MEDICINE,OBC,7280.0,,,21823.0
Kauvery Hospital Medical Services Pvt Ltd,(NBEMS) GENERAL MEDICINE,Open,7288.0,,,
Esic Model Hospital,(NBEMS) GENERAL MEDICINE,OBC,7301.0,,,
Naruvi Hospitals,(NBEMS) GENERAL MEDICINE,Open,7322.0,,,
Government Medical College,(NBEMS) GENERAL MEDICINE,EWS,7357.0,,,11069.0
Kaveri Medical Centre And Hospital,(NBEMS) GENERAL MEDICINE,Open,7382.0,,,
Dr. Kamakshi Memorial Hospital,(NBEMS) GENERAL MEDICINE,Open,7417.0,,,
Tiruvalla Medical Mission,(NBEMS) GENERAL MEDICINE,Open,7438.0,,,
Asha Hospital,(NBEMS) GENERAL MEDICINE,Open,7452.0,,,
Kailash Hospital And Heart Institute,(NBEMS) GENERAL MEDICINE,Open,7455.0,,,
Malabar Hospitals Pvt. Ltd.,(NBEMS) GENERAL MEDICINE,Open,7508.0,,,
Autonomous State Medical College And Allied Pandit Ram Prasad Bismil Memorial,(NBEMS) GENERAL MEDICINE,OBC,7513.0,,,
Kannur Medical College Hospital,(NBEMS) GENERAL MEDICINE,Open,7527.0,,,
Kailash Hospital Neuro Institute,(NBEMS) GENERAL MEDICINE,Open,7581.0,,,13038.0
